,task-clock,context-switches,cpu-migrations,page-faults,cycles,instructions,branches,branch-misses,stalled-cycles-frontend,stalled-cycles-backend,eu_stall,if_stall,id_stall,ib_stall,benchmark,first instruction,second instruction,file name
638,9966.71,690.0,1.0,0.0,15955589967.0,31818894954.0,1434960.0,133651.0,20918843.0,9104293.0,9923735.0,9640264.0,1686443.0,121590.0,i-results,SRAIW_V0,XORI_V0,SRAIW_V0_XORI_V0-10
639,9983.06,342.0,0.0,0.0,15977117238.0,31880574464.0,999778.0,81968.0,18961051.0,7182814.0,7358363.0,8442735.0,1238028.0,78772.0,i-results,SRAIW_V0,XOR_V0,SRAIW_V0_XOR_V0-10
640,10003.77,3.0,0.0,0.0,16005899449.0,31966068126.0,539465.0,4517.0,12832999.0,5113293.0,4697708.0,3912536.0,773838.0,38713.0,i-results,SRAI_V0,ADDI_V0,SRAI_V0_ADDI_V0-10
641,10003.96,0.0,0.0,0.0,16006207214.0,31967684666.0,513810.0,3521.0,13479585.0,4033448.0,2906305.0,4530481.0,816183.0,37336.0,i-results,SRAI_V0,ADDW_V0,SRAI_V0_ADDW_V0-10
642,9981.89,330.0,0.0,0.0,15974880915.0,31873409724.0,990072.0,78290.0,19697569.0,7992892.0,8494974.0,9097916.0,1445358.0,81808.0,i-results,SRAI_V0,ANDI_V0,SRAI_V0_ANDI_V0-10
643,9926.48,1762.0,0.0,0.0,15905805529.0,31658042043.0,2787982.0,260739.0,28823008.0,15419396.0,18200622.0,14693568.0,2880983.0,259893.0,i-results,SRAI_V0,AND_V0,SRAI_V0_AND_V0-10
644,10003.97,0.0,0.0,0.0,16006218601.0,26641288851.0,511477.0,3347.0,2677162189.0,4206078.0,3106130.0,4140834.0,907034.0,36217.0,i-results,SRAI_V0,AUIPC_V0,SRAI_V0_AUIPC_V0-10
645,10004.0,0.0,0.0,0.0,16006287788.0,10671616666.0,516441.0,2364.0,4002228.0,5333184894.0,10667266688.0,3649442.0,767983.0,37578.0,i-results,SRAI_V0,DIVUW_V0,SRAI_V0_DIVUW_V0-10
646,10002.81,13.0,0.0,0.0,16004438813.0,10669949033.0,553821.0,9783.0,4563402.0,5332572443.0,10665377632.0,4181626.0,868554.0,40818.0,i-results,SRAI_V0,DIVU_V0,SRAI_V0_DIVU_V0-10
647,10003.76,4.0,0.0,0.0,16005875641.0,10671117506.0,542643.0,4981.0,4408673.0,5332970396.0,10666546132.0,4015577.0,784172.0,39189.0,i-results,SRAI_V0,DIV_V0,SRAI_V0_DIV_V0-10
648,10002.75,32.0,0.0,0.0,16004502961.0,31961728403.0,564116.0,13504.0,13286322.0,5029271.0,4875550.0,4248990.0,838122.0,41245.0,i-results,SRAI_V0,MULW_V0,SRAI_V0_MULW_V0-10
649,10003.84,2.0,0.0,0.0,16006007344.0,10671394987.0,518934.0,2918.0,4007675.0,5333116678.0,10675683655.0,3668900.0,843037.0,37460.0,i-results,SRAI_V0,MUL_V0,SRAI_V0_MUL_V0-10
650,10008.0,0.0,0.0,0.0,16012672645.0,31981408611.0,516271.0,2155.0,12391617.0,4716030.0,4497179.0,3549013.0,780437.0,38110.0,i-results,SRAI_V0,ORI_V0,SRAI_V0_ORI_V0-10
651,9982.54,325.0,0.0,0.0,15976058470.0,31876649554.0,981278.0,78662.0,19643106.0,7522123.0,7655701.0,9113028.0,1405410.0,80582.0,i-results,SRAI_V0,OR_V0,SRAI_V0_OR_V0-10
652,10004.0,0.0,0.0,0.0,16006271338.0,4577134877.0,533920.0,2058.0,3270210.0,11428003575.0,11429049379.0,3650314.0,777140.0,38102.0,i-results,MULHU_V0,MUL_V0,MULHU_V0_MUL_V0-10
